"FTM Limite diffraction_x","FTM Limite diffraction_y","0.0_x","0.0_y","0.5_x","0.5_y","1.0_x","1.0_y","1.5_x","1.5_y"
5.27370479,0.6292336069,19.04296875,0.0261634047,19.04296875,0.04755682878,19.04296875,0.04216469993,19.04296875,0.0255972026,
5.30074943,0.6273952392,19.140625,0.02262051593,19.140625,0.04533835343,19.140625,0.04104526053,19.140625,0.02372804003,
5.32779407,0.6255578603,19.23828125,0.01957479664,19.23828125,0.04306267705,19.23828125,0.04006696557,19.23828125,0.0219192137,
5.35483871,0.6237214759,19.3359375,0.01713123682,19.3359375,0.04075409787,19.3359375,0.0392101064,19.3359375,0.02019715339,
5.38188335,0.6218860917,19.43359375,0.01538241886,19.43359375,0.03843860357,19.43359375,0.03845419024,19.43359375,0.01858137562,
5.40892799,0.6200517133,19.53125,0.01439862112,19.53125,0.03614508019,19.53125,0.03778267613,19.53125,0.01708115282,
5.43597263,0.6182183464,19.62890625,0.01420884574,19.62890625,0.03390675663,19.62890625,0.03718609413,19.62890625,0.01569391579,
5.463017269,0.6163859967,19.7265625,0.01478389455,19.7265625,0.03176235562,19.7265625,0.03666259621,19.7265625,0.01440615472,
5.490061909,0.6145546699,19.82421875,0.01603921305,19.82421875,0.02975621577,19.82421875,0.0362155826,19.82421875,0.01319702426,
5.517106549,0.6127243716,19.921875,0.0178552372,19.921875,0.02793648403,19.921875,0.03584875685,19.921875,0.01204409393,
5.544151189,0.6108951076,20.01953125,0.02009598705,20.01953125,0.02635051263,20.01953125,0.03555968937,20.01953125,0.01093011603,
5.571195829,0.6090668837,20.1171875,0.02261706993,20.1171875,0.0250371348,20.1171875,0.03533353347,20.1171875,0.009849614238,
5.598240469,0.6072397055,20.21484375,0.02526780691,20.21484375,0.02401682684,20.21484375,0.03513868404,20.21484375,0.008814423274,
